datetime,standpipe_pressure,flow_rate,hook_load,rpm,torque,mud_weight,rop,pump_pressure
2024-01-01 00:00:00,3074.507122951685,555.97421746344,189.87232587538426,100.9219244212261,22.409519185105196,9.87287209539319,24.42959320883456,2909.9259115234527
2024-01-01 01:00:00,2979.2603548243223,536.9853473165108,197.83221993926722,111.39614989220499,24.906389533182747,9.863975767484844,26.84534583131105,2551.124665268172
2024-01-01 02:00:00,3097.153280715104,502.38521479680696,188.1137011850006,115.86394466578356,25.05405061613334,9.461307048210996,25.289699082128777,2900.064390984452
2024-01-01 03:00:00,3228.454478461204,474.12252889177705,195.3805770554144,138.87687657340192,26.417891037530218,9.900972942489568,27.26002090629431,2767.2786319007582
2024-01-01 04:00:00,2964.8769937914994,527.9289325445436,171.59577999569322,125.56553124533758,20.89942491015752,10.219848724546523,28.929248446444056,2899.0440795210134
2024-01-01 05:00:00,2964.879456457623,515.73941541687,203.19940561059408,106.64518430900108,26.777701821541992,9.617730364276962,34.18577243165692,2908.770436929676
2024-01-01 06:00:00,3236.881922326109,535.8077288011093,200.01808213043336,124.86036289417638,16.886825105191676,10.314544795315177,28.39420480647149,3025.108108556682
2024-01-01 07:00:00,3115.1152093729365,525.4068720672788,187.74367053397714,104.52696011061634,23.11034634290857,10.146332446325301,22.071871466152036,2989.4835106669684
2024-01-01 08:00:00,2929.5788421097573,541.9821086127733,209.8886850264861,130.82691053887072,23.535178472645367,9.77973000340869,35.7003392324758,2988.5200327654416
2024-01-01 09:00:00,3081.3840065378945,478.59059153757727,214.06355206439838,115.28875348182122,26.899980478213717,9.957541108798646,25.814549331924802,3002.1138446832733
2024-01-01 10:00:00,2930.4873460781305,552.695762625373,175.8866020344654,119.06363811260829,25.067892558030607,10.47949654229231,29.706397864476855,2840.7930578742325
2024-01-01 11:00:00,2930.1405369644613,507.903984187696,188.5591283215068,133.2579664754219,20.78331083843114,10.22006434405176,32.23268253470356,2804.5059121851577
2024-01-01 12:00:00,3036.2943407349053,583.0104349050106,188.46286475319053,107.1283643141575,22.045020622548954,10.002635096469444,30.998052092013914,2922.194391644967
2024-01-01 13:00:00,2713.00796330133,472.4324872764173,185.90145348336702,106.02881814887009,25.59604002864222,9.928695004911704,35.47089773760738,2902.491333200623
2024-01-01 14:00:00,2741.2623251230452,569.4385521266099,212.44212262897622,114.16400673653995,24.762797974406332,10.022982721135499,32.3950157169638,2756.7307268566437
2024-01-01 15:00:00,2915.656870613854,507.9164313385059,197.09260791840794,130.38378851019317,23.262627671092762,9.84647093261731,25.69345210151446,2856.6752772331574
2024-01-01 16:00:00,2848.0753319498363,473.9432798554221,196.03227738034084,104.80653924523158,23.55749863146406,9.368575148284295,40.89281086995831,2795.086494650157
2024-01-01 17:00:00,3047.137099889291,480.64456663782715,169.9420645338987,91.67844401889431,27.088503991477868,10.61265337316042,30.971667316691168,2680.449392815592
2024-01-01 18:00:00,2863.7963886718185,487.1861076722272,209.5312704531384,115.48841141591001,23.446922281392357,10.046597499759821,29.26329886689247,2980.664503792689
2024-01-01 19:00:00,2788.154444799706,516.9666378560767,181.4111240771979,125.51740799910921,24.73572626791278,10.119444179536762,34.819627115277854,2807.7278939542125
2024-01-01 20:00:00,3219.847315338233,520.91341952142,200.89898945399491,132.0026174973883,31.50980976424163,9.982627675036927,31.24725472965036,3086.819156077839
2024-01-01 21:00:00,2966.1335549270198,477.05199984245684,204.16065406937287,115.36838637914602,20.72895208934823,9.779464959782624,31.996140964696636,2572.4310821720233
